episodes,sum_agent_wins,sum_adver_wins,sum_agent_exceed_screen,sum_adver_exceed_screen,sum_agent_number_of_team_collisions,sum_agent_number_of_oppo_collisions,sum_adver_number_of_team_collisions,sum_adver_number_of_oppo_collisions,avg_agent_number_of_team_collisions,avg_agent_number_of_oppo_collisions,avg_adver_number_of_team_collisions,avg_adver_number_of_oppo_collisions,avg_agent_actor_loss,avg_agent_critic_loss,avg_adver_actor_loss,avg_adver_critic_loss,avg_agent_actor_grad_norm,avg_agent_critic_grad_norm,avg_adver_actor_grad_norm,avg_adver_critic_grad_norm,agent_elo,adver_elo,agent_goal,adver_goal
552,8,256,214,74,0,1,0,1,0.0,0.3333333333333333,0.0,1.0,0.2103964388370514,0.2794233252449582,0.6008198261260986,2.3425772190093994,5.501616942638066e-05,1.9949061274528503,0.4801454246044159,20.22305679321289,741.541015070991,1258.458984929008,5,0.25
553,8,257,214,74,0,0,0,0,0.0,0.0,0.0,0.0,0.20420767615238825,0.7514265915378928,0.6594722270965576,3.0203466415405273,4.159931449976284e-05,1.1513809164365132,0.4585567116737366,40.6933708190918,739.9877492328567,1260.0122507671424,5,0.25
554,8,258,214,74,0,0,0,0,0.0,0.0,0.0,0.0,0.17228006571531296,0.012151660048402846,0.6265681982040405,2.125861167907715,6.8588116846513e-05,0.9739275177319845,0.5194494128227234,57.14883804321289,738.4606992733585,1261.5393007266407,5,0.25
555,8,259,214,74,0,0,0,0,0.0,0.0,0.0,0.0,0.15014977877338728,0.521263025701046,0.5722991228103638,3.386301040649414,5.58126606241179e-05,1.291678826014201,0.3908827602863312,103.27129364013672,736.9590126277692,1263.04098737223,5,0.25
556,8,260,214,74,0,0,0,0,0.0,0.0,0.0,0.0,0.1550284350911776,0.5306449849934628,0.5550706386566162,2.178515911102295,5.764398883911781e-05,1.1073951820532482,0.237087219953537,26.822702407836914,735.4818770752211,1264.518122924778,9,0.2
557,8,261,214,74,0,0,0,0,0.0,0.0,0.0,0.0,0.1560344398021698,0.00790354011890789,0.5185363292694092,2.615427017211914,5.9853794179313503e-05,0.44701995452245075,0.07911624014377594,21.220096588134766,734.0285182608234,1265.9714817391757,9,0.2
558,8,262,214,74,0,0,0,0,0.0,0.0,0.0,0.0,0.1728634238243103,0.5146596441045403,0.518102765083313,3.98563551902771,7.854656178096775e-05,1.2653758724530537,0.10366121679544449,44.61804962158203,732.5981974033641,1267.401802596635,9,0.2
559,8,263,214,74,0,0,0,0,0.0,0.0,0.0,0.0,0.16876946638027826,0.008476239163428545,0.5499377250671387,2.5965077877044678,0.00011280330242395091,0.40277640024820965,0.07419347018003464,12.618085861206055,731.1902091723002,1268.8097908276989,9,0.2
560,8,264,214,74,0,0,0,0,0.0,0.0,0.0,0.0,0.16339103629191717,0.2583317543224742,0.5701277852058411,2.697490692138672,0.0001574522078347703,0.6838227411111196,0.1665370762348175,66.68934631347656,729.803879719373,1270.196120280626,9,0.2
561,8,265,214,74,0,0,0,0,0.0,0.0,0.0,0.0,0.15146135911345482,0.2579097921649615,0.6354049444198608,3.0203166007995605,0.0001190069375904083,0.27838489909966785,0.5898898839950562,68.34321594238281,728.4385648516367,1271.5614351483623,9,0.2
562,8,266,214,74,0,0,0,0,0.0,0.0,0.0,0.0,0.14578526839613914,0.26654142459544045,0.5557771921157837,2.2865424156188965,0.00012863006365175048,1.0813632011413574,0.07956087589263916,52.91412353515625,727.0936483339759,1272.906351666023,9,0.2
563,8,267,214,74,0,0,0,0,0.0,0.0,0.0,0.0,0.1560271792113781,0.7734175324440002,0.6767071485519409,2.9086453914642334,0.00017803819112790128,1.2632420659065247,0.10915642976760864,43.39551544189453,725.7685403103368,1274.2314596896622,9,0.2
564,8,268,214,74,0,0,0,0,0.0,0.0,0.0,0.0,0.14624246706565222,0.005804568373908599,0.6713886260986328,3.215512275695801,0.00017465387160579363,0.30688069264094037,0.150321826338768,60.37514877319336,724.46267583392,1275.537324166079,9,0.2
565,8,269,214,74,0,0,0,0,0.0,0.0,0.0,0.0,0.17468004922072092,0.5126269559841603,0.6188132762908936,2.8034510612487793,0.0001945515650731977,0.909912054737409,0.17146064341068268,34.727195739746094,723.1755134975018,1276.8244865024974,4,0.30000000000000004
566,8,270,214,74,0,0,0,0,0.0,0.0,0.0,0.0,0.1814673791329066,0.007702825590968132,0.6810024380683899,2.125023126602173,0.00016522296209586784,0.40994643916686374,0.34076988697052,27.662214279174805,721.9065341558656,1278.0934658441336,4,0.30000000000000004
567,8,271,214,74,0,0,0,0,0.0,0.0,0.0,0.0,0.19429909686247507,0.25382167131950456,0.6855621337890625,2.3631458282470703,0.00022192406443840204,0.7237626115481058,0.14305518567562103,60.024986267089844,720.655239733062,1279.344760266937,4,0.30000000000000004
568,8,272,214,74,0,0,0,0,0.0,0.0,0.0,0.0,0.16812416911125183,0.00891465445359548,0.7874751091003418,5.668515205383301,0.00031476851836487185,0.720511868596077,0.201456680893898,76.74246215820312,719.421152107874,1280.5788478921252,4,0.30000000000000004
569,8,273,214,74,0,0,0,0,0.0,0.0,0.0,0.0,0.133110041419665,0.016108954946200054,0.6362487077713013,3.129495620727539,0.00027351117387297563,0.7487106323242188,0.15778343379497528,18.99838638305664,718.2038120714553,1281.7961879285438,4,0.30000000000000004
